Time,AAPL,AMZN,BRK-B,GOOGL,JNJ,MSFT,NVDA,UNH,V,XOM
19,0.23811314,0.0,0.06043424,0.0,0.0,0.33794275,0.18826498,0.0,0.12907279,0.04617206
20,0.0,0.19139819,0.1760759,0.0,0.3121246,0.0,0.10142678,0.0,0.0,0.21897455
21,0.2461604,0.2992703,0.0,0.0,0.0,0.1349487,0.0,0.0,0.020350298,0.2992703
22,0.0,0.33629638,0.08972755,0.041498445,0.0,0.0,0.33629638,0.19618118,0.0,0.0
23,0.0,0.29497886,0.19010945,0.0,0.0,0.29497886,0.0,0.15401495,0.06591795,0.0
24,0.188161,0.0,0.0256367,0.0,0.0,0.20109771,0.1508738,0.18722448,0.0,0.24700628
25,0.19942506,0.21769762,0.0,0.0,0.0,0.0,0.28550684,0.0,0.2973705,0.0
26,0.0,0.0,0.22655265,0.0,0.0,0.0,0.15985666,0.033797838,0.5797928,0.0
27,0.124843575,0.21737063,0.0,0.0,0.0,0.19691442,0.06956885,0.27318308,0.118119426,0.0
28,0.004231882,0.0,0.18451604,0.0,0.0,0.38317633,0.2627547,0.16132964,0.0039914837,0.0
29,0.0,0.29135996,0.0,0.0,0.0,0.0,0.23558998,0.0,0.18169008,0.29135996
30,0.10091746,0.27408606,0.09175062,0.0,0.13818146,0.14907937,0.1728664,0.0,0.045760274,0.02735829
31,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
32,0.0,0.41333464,0.082874104,0.0,0.0,0.0,0.058892846,0.0,0.31708306,0.12781529
33,0.39428037,0.19326553,0.0,0.0,0.0,0.0,0.0,0.0,0.29075605,0.12169804
34,0.59590226,0.0,0.0,0.0,0.0,0.15718281,0.0,0.0,0.0,0.24691492
35,0.0,0.43032658,0.28778163,0.0,0.050703984,0.0,0.1408598,0.0,0.0,0.090328045
36,0.0,0.24869928,0.0,0.0,0.0,0.06991993,0.68138075,0.0,0.0,0.0
37,0.0,0.16892424,0.0,0.0,0.0,0.22611125,0.0,0.01812931,0.2934176,0.2934176
38,0.0,0.5173933,0.0,0.0,0.19369023,0.0,0.0,0.090179466,0.12044749,0.07828957
39,0.0,0.0,0.21033722,0.0,0.0,0.25199506,0.35084337,0.0,0.10553367,0.08129077
40,0.0,0.0,0.0,0.057454042,0.0027171876,0.0,0.024796082,0.21565211,0.37457454,0.324806
41,0.08993111,0.34567508,0.56439376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.07615236,0.14335704,0.0,0.27668786,0.39720032,0.0,0.0,0.0,0.106602475
43,0.14619823,0.26751807,0.0,0.0,0.0,0.044017494,0.1908831,0.0,0.33641282,0.014970315
44,0.0,0.8526732,0.0,0.0,0.065420285,0.0,0.0,0.0,0.0,0.081906475
45,0.31586143,0.22072376,0.0,0.0,0.0,0.0954282,0.31586143,0.0,0.052125204,0.0
46,0.0,0.0,0.0,0.0,0.07085126,0.28161255,0.6475362,0.0,0.0,0.0
47,0.0,0.105518065,0.22509316,0.0,0.05300269,0.2648292,0.35155693,0.0,0.0,0.0
48,0.22263658,0.2673257,0.0,0.0,0.0,0.0,0.24271202,0.0,0.2673257,0.0
49,0.0,0.116563804,0.057812423,0.0,0.0,0.20732647,0.32091814,0.0,0.11366207,0.18371706
