Timesteps,EvalReward,SmoothedReward,BestReward
820,-0.048455,-0.048455,-0.048455
1640,0.225065,0.088305,0.225065
2460,-0.03059,0.048673333333333325,0.225065
3280,-0.04392,0.025525,0.225065
4100,0.215183,0.0634566,0.225065
4920,-0.028662,0.0481035,0.225065
5740,-0.005866,0.04039357142857143,0.225065
6560,-0.02689,0.031983125,0.225065
7380,-0.015242,0.02673588888888889,0.225065
8200,0.046995,0.028761800000000004,0.225065
9020,-0.197971,0.013810200000000003,0.225065
9840,0.166114,0.007915100000000003,0.225065
10660,-0.153517,-0.004377599999999995,0.225065
11480,0.163566,0.016371000000000004,0.225065
12300,0.113933,0.0062460000000000016,0.225065
13120,0.217477,0.030859900000000003,0.225065
13940,-0.246225,0.006823999999999999,0.225065
14760,0.099425,0.019455500000000004,0.225065
15580,-0.146484,0.006331300000000003,0.225065
16400,0.121974,0.013829200000000003,0.225065
17220,-0.047034,0.0289229,0.225065
18040,0.249023,0.037213800000000005,0.249023
18860,0.029815,0.055547,0.249023
19680,-0.060585,0.0331319,0.249023
20500,0.264317,0.0481703,0.264317
21320,0.009025,0.027325099999999998,0.264317
22140,-0.120692,0.0398784,0.264317
22960,-0.027829,0.027153,0.264317
23780,0.190091,0.0608105,0.264317
24600,0.166289,0.065242,0.264317
25420,0.150886,0.085034,0.264317
26240,-0.151559,0.044975799999999996,0.264317
27060,0.075862,0.049580500000000007,0.264317
27880,-0.056384,0.050000600000000006,0.264317
28700,-0.017067,0.021862200000000002,0.264317
29520,-0.077123,0.013247400000000001,0.264317
30340,0.149073,0.0402239,0.264317
31160,0.356347,0.0786415,0.356347
31980,-0.059019,0.0537305,0.356347
32800,0.10856,0.0479576,0.356347
33620,0.156979,0.0485669,0.356347
34440,0.156856,0.0794084,0.356347
35260,-0.080107,0.06381150000000001,0.356347
36080,-0.040146,0.0654353,0.356347
36900,-0.169388,0.0502032,0.356347
37720,-0.096407,0.0482748,0.356347
38540,0.131986,0.0465661,0.356347
