Time,AAPL,MSFT,AMZN,NVDA,GOOGL,XOM,UNH,JNJ,V,BRK.B
0,0.7365622,0.0,0.0,0.0,0.0,0.026719924,0.0,0.0,0.23671788,0.0
1,0.0,0.27750945,0.35804376,0.0,0.0,0.0,0.0,0.0,0.31787798,0.046568748
2,0.2289519,0.30871356,0.0,0.0,0.0,0.30871356,0.06631236,0.0,0.0,0.08730863
3,0.0,0.30647826,0.0,0.3208654,0.05179091,0.0,0.3208654,0.0,0.0,0.0
4,0.21847837,0.21847837,0.21847837,0.0,0.0,0.054073684,0.07201282,0.21847837,0.0,0.0
5,0.2570546,0.2570546,0.0,0.0,0.0,0.2570546,0.0,0.0,0.2288362,0.0
6,0.0,0.33333334,0.33333334,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0
7,0.2155935,0.3065269,0.3065269,0.0,0.0,0.0,0.0,0.0,0.0,0.17135268
8,0.1361147,0.47173092,0.0,0.0,0.0,0.0,0.09609855,0.1378633,0.00391918,0.1542733
9,0.3152191,0.2935953,0.08198891,0.0,0.0,0.0,0.1261417,0.18305503,0.0,0.0
10,0.33333334,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0
11,0.0,0.36470735,0.0,0.0,0.0,0.27058533,0.0,0.0,0.0,0.36470735
12,0.0,0.35289505,0.25700247,0.0,0.0,0.0,0.10101543,0.0,0.0,0.28908706
13,0.0,0.30424035,0.0,0.0,0.0,0.21943963,0.30424035,0.0,0.0,0.17207971
14,0.35750675,0.3184963,0.0,0.0,0.0,0.0,0.0,0.0,0.32399705,0.0
15,0.0,0.39851323,0.0,0.0,0.0,0.15462406,0.29620162,0.0,0.15066113,0.0
16,0.1358618,0.23164959,0.008989906,0.0,0.18721293,0.0,0.20463619,0.0,0.23164959,0.0
17,0.14780366,0.27954555,0.013559756,0.0,0.0,0.27954555,0.27954555,0.0,0.0,0.0
18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.47835737,0.0,0.0,0.0,0.0,0.386319,0.05315589,0.082167774,0.0
20,0.032821603,0.4835892,0.4835892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.30458146,0.27130336,0.0,0.0,0.047144674,0.13537797,0.01213786,0.0,0.22945473,0.0
22,0.0,0.71490747,0.0,0.0,0.0,0.0,0.0,0.0,0.1707426,0.114349864
23,0.36800906,0.36800906,0.0,0.0,0.0,0.0013181497,0.0,0.10480108,0.0,0.15786268
24,0.17525786,0.22967823,0.0,0.0,0.0,0.22967823,0.18527812,0.0,0.117020905,0.06308676
25,0.24129766,0.0,0.20519091,0.0,0.0,0.0,0.07091612,0.0,0.24129766,0.24129766
26,0.0,0.2009196,0.0,0.028195802,0.0,0.0,0.0,0.0,0.7708846,0.0
27,0.33502197,0.21480337,0.006997088,0.0,0.0,0.0,0.0,0.0,0.3460121,0.09716554
28,0.2263697,0.08034787,0.0,0.0,0.0,0.2263697,0.21565893,0.029471343,0.18912563,0.03265687
29,0.0,0.45413947,0.030495126,0.0,0.0,0.061226007,0.45413947,0.0,0.0,0.0
30,0.0,0.16765498,0.0,0.0,0.0,0.35621807,0.0,0.0,0.47612697,0.0
31,0.0,0.26633513,0.0,0.0,0.0,0.17035285,0.3587726,0.0,0.0,0.20453943
32,0.0,0.6058168,0.0,0.0,0.0,0.095624775,0.2985584,0.0,0.0,0.0
33,0.28970382,0.28970382,0.0,0.0,0.0,0.0,0.2882883,0.0,0.06481424,0.067489915
34,0.0,0.15113066,0.14288114,0.0,0.054821473,0.15113066,0.15113066,0.06692786,0.15113066,0.13084687
35,0.0,0.37983423,0.0,0.0,0.0,0.24033153,0.37983423,0.0,0.0,0.0
36,0.0,0.0040428205,0.0,0.09684657,0.0,0.10552808,0.39026722,0.07673222,0.32658303,0.0
37,0.27810568,0.16568303,0.0,0.0,0.0,0.0,0.27810568,0.0,0.27810568,0.0
38,0.10523711,0.074416265,0.0,0.004486561,0.17608412,0.20754957,0.0,0.18691085,0.045584846,0.1997307
39,0.26022875,0.055206366,0.0,0.0,0.35294762,0.0,0.33161733,0.0,0.0,0.0
40,0.0756229,0.35274094,0.0,0.0,0.0,0.0,0.12029415,0.0,0.17352997,0.27781197
41,0.308595,0.5331613,0.0,0.0,0.0,0.0,0.0,0.0,0.1582437,0.0
42,0.15187036,0.021767706,0.2824842,0.0,0.0,0.08183341,0.22730334,0.0,0.17762102,0.05711994
