date,open,high,low,close,volume,Name,return,rsi,macd,ema_20,sma_50,atr
2013-04-22,49.28,49.4,48.1,48.61,1904516,RHT,-0.012994923857868046,43.94891747102785,0.12930237399020184,49.58545706822157,50.9102,1.4075452335624872
2013-04-23,49.07,49.47,48.67,49.11,1097733,RHT,0.01028594939312888,46.572451560104746,0.1076950470552464,49.540175442676656,50.7932,1.3684348597365952
2013-04-24,48.94,49.59,48.63,48.65,1076981,RHT,-0.009366727754021587,44.50841517796448,0.06367220979610833,49.4553968290884,50.676,1.3392609411839813
2013-04-25,48.96,49.38,48.49,49.08,1384502,RHT,0.008838643371017474,46.878447739860604,0.06456011375182019,49.4196447501276,50.550999999999995,1.3071708739565542
2013-04-26,49.16,49.35,48.44,48.53,1231030,RHT,-0.01120619396903011,44.273777885041426,0.030862198743076552,49.33491667868688,50.431599999999996,1.2788015258168006
2013-04-29,48.78,49.28,48.43,48.81,1116559,RHT,0.005769627034823754,45.92113241746987,0.03015138260895789,49.284924614050034,50.32640000000001,1.248172845401315
2013-04-30,48.67,48.75,47.69,47.93,1918989,RHT,-0.018029092399098556,41.74441426913679,-0.023943707988995255,49.155884174616695,50.206399999999995,1.2390176421583643
2013-05-01,48.01,48.75,47.5901,47.73,1450105,RHT,-0.0041727519298978555,40.83535761469669,-0.06521268960874288,49.020085681796054,50.0822,1.2333663820041956
2013-05-02,47.76,48.54,47.76,48.51,1468500,RHT,0.01634192331866746,45.793230574772366,-0.03358918294160318,48.97150609305357,49.978,1.2031259261467533
2013-05-03,48.94,49.73,48.55,49.65,1501053,RHT,0.023500309214594894,52.109715956409325,0.06511508226340734,49.0361245603818,49.936800000000005,1.204331217136271
2013-05-06,49.8,50.33,49.5,50.3,1381682,RHT,0.01309164149043296,55.30750464826582,0.1692709609520166,49.15649364986925,49.918,1.1775932730551086
2013-05-07,50.35,50.71,50.19,50.65,1637462,RHT,0.006958250497017815,56.97351460615786,0.25185268018127327,49.298732349881696,49.9262,1.130622324979744
2013-05-08,50.38,50.93,50.05,50.82,1988133,RHT,0.003356367226061252,57.79643474428809,0.30452186135063414,49.4436149832263,49.954800000000006,1.112720730338334
2013-05-09,50.68,51.47,50.36,50.94,1587254,RHT,0.0023612750885477762,58.40124501662666,0.3317964875462774,49.58612784196665,49.962599999999995,1.1125263924570243
2013-05-10,50.94,51.92,50.67,51.9,1771466,RHT,0.018845700824499323,62.97281511197052,0.3945751239805131,49.80649661892221,49.984399999999994,1.1223459358529513
2013-05-13,51.9,51.98,51.38,51.96,1571557,RHT,0.0011560693641619046,63.24469046338268,0.41798081238886514,50.01159217902485,49.992,1.0850355118634545
2013-05-14,51.99,53.0,51.89,52.72,1755365,RHT,0.014626635873749017,66.59095469816099,0.4592010367450282,50.26953578102248,50.0048,1.0868186895874934
2013-05-15,52.62,54.85,52.43,54.16,3978631,RHT,0.0273141122913505,71.82500180703275,0.551775634180876,50.640056182829866,50.048199999999994,1.1820459260455298
2013-05-16,54.18,55.43,54.15,54.71,2727930,RHT,0.010155096011816855,73.53069523802917,0.6136299153129173,51.02766987970322,50.086400000000005,1.1890426456137064
2013-05-17,54.93,55.59,54.42,54.99,2644094,RHT,0.0051178943520380216,74.38100884530566,0.6343574377785421,51.40503465306482,50.11679999999999,1.187682456641299
2013-05-20,54.47,54.6999,52.36,52.65,3998163,RHT,-0.042553191489361764,57.69902850736906,0.45957282557121326,51.52360278134436,50.10979999999999,1.2907051383097776
2013-05-21,52.66,52.99,51.84,51.86,2065530,RHT,-0.01500474833808163,53.348855172712035,0.26927741272602823,51.55564061169252,50.0842,1.2806547712876506
2013-05-22,51.87,52.04,49.75,50.02,3285928,RHT,-0.03548013883532586,44.86454160629183,0.011613445823407176,51.40938912486466,50.0726,1.3527508590528183
2013-05-23,49.33,49.92,48.73,49.36,2740317,RHT,-0.013194722111155577,42.26789401584751,-0.19949028078943343,51.21420920821088,50.043800000000005,1.3482686548347602
2013-05-24,48.9,49.19,48.25,48.49,2725762,RHT,-0.017625607779578556,39.05875743430688,-0.3832915753280305,50.9547607121908,50.0004,1.331249465203706
2013-05-28,49.4,49.46,48.6,48.64,1850961,RHT,0.00309342132398438,39.905918490029,-0.4743774506754449,50.73430731102977,49.9644,1.3054459319748697
2013-05-29,48.3,48.43,47.79,48.18,2045976,RHT,-0.00945723684210531,38.1542618112969,-0.5404237981339782,50.49103994807455,49.925399999999996,1.2729140796909506
2013-05-30,48.25,48.32,47.35,47.86,3608144,RHT,-0.00664176006641759,36.93953143885982,-0.5771473878509306,50.2404647149246,49.886799999999994,1.2512773597130256
2013-05-31,47.72,49.369,47.6,48.23,2685287,RHT,0.007730881738403639,39.34414873318435,-0.5482173061598491,50.04899188493178,49.827799999999996,1.288257548304952
2013-06-03,48.29,48.29,46.31,47.16,2346670,RHT,-0.022185361808003345,35.167766005330435,-0.5703012756038734,49.77384980065256,49.7522,1.3376677234260266
2013-06-04,47.13,47.33,46.17,46.18,2499403,RHT,-0.020780322307039745,31.83467244267416,-0.6161587641119004,49.4315783910666,49.6598,1.3249771717527388
2013-06-05,46.08,46.79,45.55,45.7,3561147,RHT,-0.01039411000433077,30.31895982369747,-0.6411999261078101,49.076189972869784,49.593999999999994,1.3189073737704005
2013-06-06,45.77,46.06,44.915,45.48,5006044,RHT,-0.004814004376367698,29.622800379065495,-0.6338271019091968,48.733695689739335,49.5186,1.3064854185010863
2013-06-07,45.72,46.525,45.52,46.24,1865806,RHT,0.01671064204045747,35.16144316892853,-0.542538384038027,48.49620086214511,49.444,1.2878078886081517
2013-06-10,46.26,46.52,46.185,46.4,1540360,RHT,0.0034602076124565784,36.29806263397428,-0.440492358741314,48.296562684797955,49.3608,1.219750182278998
2013-06-11,45.86,46.85,45.55,46.24,2244168,RHT,-0.0034482758620688614,35.62550810748665,-0.35647096405670964,48.10069957196005,49.3192,1.2254823121162128
2013-06-12,46.68,46.74,45.96,46.4,2234705,RHT,0.0034602076124565784,36.88490318183847,-0.2669174771373872,47.93872818415433,49.2704,1.1936621469650548
2013-06-13,46.23,46.34,45.08,45.85,3224787,RHT,-0.011853448275861989,34.393992480734866,-0.22329330613250453,47.739801690425345,49.2334,1.2026862793246937
2013-06-14,45.93,46.5,45.56,45.81,2062197,RHT,-0.0008724100327153206,34.21303228265744,-0.17768765251439644,47.55601105324198,49.188599999999994,1.183922973658644
2013-06-17,45.83,46.15,45.33,45.68,1736821,RHT,-0.0028378083387906594,33.59439604891749,-0.138569371345451,47.377343333885605,49.152800000000006,1.1579284755401693
2013-06-18,45.75,47.04,45.69,46.63,2227475,RHT,0.020796847635726756,41.86682032329247,-0.03632898993503497,47.306167778277455,49.1262,1.1723621558587287
2013-06-19,46.63,46.88,45.9,46.22,2726544,RHT,-0.008792622775037562,39.5754321354498,0.01340626961531477,47.202723227965315,49.08520000000001,1.1586220018688198
2013-06-20,47.85,48.15,45.66,45.88,4977608,RHT,-0.007356122890523453,37.731226447460855,0.032061812354741814,47.07674958720672,49.01240000000001,1.2537204303067615
2013-06-21,46.25,46.465,45.34,46.45,4550192,RHT,0.01242371403661724,42.56350789672112,0.0882602350523154,47.01705915032989,48.9416,1.2445261138562784
2013-06-24,45.88,46.32,44.95,45.91,2447442,RHT,-0.011625403659849431,39.44080099480374,0.09400502363341023,46.911624945536566,48.848800000000004,1.2627742485808298
2013-06-25,46.34,46.48,45.47,45.86,2052714,RHT,-0.001089087344804951,39.15436020045169,0.09888169929592094,46.8114701888188,48.7808,1.2447189451107703
2013-06-26,46.32,46.95,46.2,46.79,1938533,RHT,0.02027911033580465,46.881714413023225,0.1652745543495413,46.8094254089313,48.690999999999995,1.2336675918885727
2013-06-27,47.07,48.82,47.0,48.47,3299035,RHT,0.035905107929044666,57.40538162869098,0.3142306894304602,46.96757536998546,48.655,1.2905484781822463
2013-06-28,48.23,48.36,47.19,47.82,2821565,RHT,-0.013410356921807254,53.027975311713156,0.3577160101779674,47.04875866808208,48.6294,1.2897950154549431
2013-07-01,48.04,48.38,47.36,47.41,1249985,RHT,-0.008573818485989149,50.41646453291713,0.3473156276113746,47.08316260445522,48.592600000000004,1.2705239429224473
2013-07-02,47.41,47.85,47.035,47.41,1152371,RHT,0.0,50.41646453291713,0.32905957498220606,47.114289975459485,48.568599999999996,1.2379865184279872
2013-07-03,47.13,48.15,47.13,47.85,580013,RHT,0.009280742459396807,53.28015675991681,0.3341665317394211,47.18435759684429,48.5434,1.222416052825988
2013-07-05,48.07,48.36,47.68,48.34,784628,RHT,0.010240334378265548,56.30660159554026,0.35607850512138345,47.29441877809722,48.537200000000006,1.183672049052703
2013-07-08,48.5,48.62,47.75,47.94,1125884,RHT,-0.008274720728175589,53.27281104825916,0.3297655797657814,47.35590270399272,48.5144,1.1612669026917957
2013-07-09,48.18,48.35,47.74,48.14,1071913,RHT,0.004171881518564957,54.590248751714235,0.31214458500980213,47.430578636945796,48.5066,1.1218906953566674
2013-07-10,48.21,48.42,47.86,48.33,999102,RHT,0.00394682176983796,55.86336465825002,0.29954562833763543,47.51623781437953,48.497,1.0817556456883342
2013-07-11,48.92,50.895,48.92,50.57,2153497,RHT,0.046348024001655386,67.44983425841365,0.42089833171828206,47.807072308248145,48.549800000000005,1.1877016709963104
2013-07-12,50.5,50.82,50.21,50.26,1016081,RHT,-0.006130116669962438,64.91024483333004,0.4561534761360787,48.04068446936737,48.6004,1.1464372659251454
2013-07-15,50.24,50.245,49.14,49.85,1327735,RHT,-0.008157580580978818,61.60643134653975,0.42817477323188063,48.21300023418952,48.627199999999995,1.1445488897876348
2013-07-16,49.78,49.89,49.52,49.59,804469,RHT,-0.005215646940822438,59.536943021250345,0.3706257623618967,48.34414306902862,48.626000000000005,1.089223969088518
2013-07-17,49.63,50.0,49.51,49.68,774749,RHT,0.001814882032667775,60.0373746889456,0.31905092082993747,48.47136753864494,48.6136,1.0464222570107669
2013-07-18,49.66,50.655,49.47,50.21,1380455,RHT,0.010668276972624735,62.94383631548555,0.30127680181047367,48.63695158258352,48.6048,1.0563206672242837
2013-07-19,50.92,50.92,49.35,49.38,1178360,RHT,-0.01653057159928295,56.06677263235896,0.21814137595700345,48.70771809852795,48.57599999999999,1.093012048136835
2013-07-22,49.07,49.36,48.89,48.96,1043411,RHT,-0.008505467800729027,52.91616664478089,0.12406489948089638,48.73174494628719,48.5364,1.049939758984204
2013-07-23,49.05,49.32,48.76,48.79,1070785,RHT,-0.00347222222222221,51.650989048254516,0.043734075741534706,48.737293046640794,48.4742,1.0149440619139038
2013-07-24,49.69,50.78,49.69,50.54,1695288,RHT,0.03586800573888094,61.78111676558185,0.09866007108563091,48.908979423151195,48.4458,1.0845909146343395
2013-07-25,50.53,51.78,50.18,51.75,2233405,RHT,0.023941432528690187,66.93903915099159,0.2007967041139398,49.17955281142251,48.426399999999994,1.1214058493033154
