Alpha,Return,Risk,Sharpe,W_0,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9
0.05,0.16675314495208232,0.17875290749590533,0.820983261239787,0.0500000000000005,0.05000000000000003,0.050000000000000315,0.05000000000000016,0.19388642102896056,0.050000000000000204,0.05000000000000008,0.05000000000000014,0.05000000000000001,0.406113578971038
0.1,0.1898309036731645,0.18924519821572347,0.8974119569447235,0.05000000000000009,0.050000000000000114,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.050000000000000114,0.04999999999999998,0.05000000000000005,0.2595585952560737,0.34044140474392603
0.3,0.1935700059721511,0.18097387842094514,0.9590887231163128,0.04999999999999999,0.04999999999999999,0.05000000000000005,0.26520321930558416,0.18701213526469057,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.19778464542972518
0.5,0.1713683772812289,0.16960523210367665,0.8924746919876866,0.04999999999999998,0.04999999999999998,0.10520651379784392,0.04999999999999998,0.24436830000577353,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.30042518619638264
0.7,0.2157136528779226,0.1900112682538376,1.0300107708163242,0.04999999999999999,0.12579694751030074,0.04999999999999999,0.15081226121247826,0.05000000000000007,0.12564336296941603,0.04999999999999999,0.14463363244912297,0.050000000000000044,0.20311379585868197
1.0,0.21019358633108043,0.17606226799559369,1.0802631847037232,0.201051566234628,0.05000000000000008,0.04999999999999999,0.05000000000000002,0.24547174745555878,0.050000000000000086,0.04999999999999999,0.20347668630981286,0.049999999999999996,0.0500000000000001
